,"Time      (s) efficiency_1,000e+00","Thrust    (N) efficiency_1,000e+00"
1757,1.7569999999999173,3697.762364433254
1758,1.7579999999999172,3697.671655832277
1759,1.758999999999917,3697.5809465525535
1760,1.759999999999917,3697.4902365941502
1761,1.7609999999999169,3697.3995259571543
1762,1.7619999999999167,3697.308814641647
1763,1.7629999999999166,3697.218102647719
1764,1.7639999999999163,3697.127389975456
1765,1.7649999999999164,3697.036676624916
1766,1.7659999999999163,3696.945962596201
1767,1.7669999999999162,3696.855247889386
1768,1.767999999999916,3696.76453250455
1769,1.768999999999916,3696.673816441782
1770,1.769999999999916,3696.5830997011567
1771,1.7709999999999158,3696.492382282748
1772,1.7719999999999156,3696.401664186646
1773,1.7729999999999155,3696.310945412927
1774,1.7739999999999154,3696.22022596168
1775,1.774999999999915,3696.129505832981
1776,1.7759999999999152,3696.038785026896
1777,1.776999999999915,3695.94806354353
1778,1.777999999999915,3695.857341382948
1779,1.7789999999999149,3695.766618545234
1780,1.7799999999999148,3695.675895030469
1781,1.7809999999999149,3695.585170838725
1782,1.7819999999999143,3695.494445970101
1783,1.7829999999999144,3695.4037204246474
1784,1.7839999999999143,3695.3129942024766
1785,1.7849999999999142,3695.222267303645
1786,1.785999999999914,3695.1315397282415
1787,1.786999999999914,3695.040811476337
1788,1.787999999999914,3694.950082548017
1789,1.7889999999999138,3694.859352943356
1790,1.7899999999999137,3694.768622662443
1791,1.7909999999999136,3694.677891705351
1792,1.7919999999999134,3694.58716007215
1793,1.792999999999913,3694.496427762941
1794,1.7939999999999132,3694.405694777781
1795,1.794999999999913,3694.314961116759
1796,1.795999999999913,3694.224226779949
1797,1.796999999999913,3694.133491767425
1798,1.7979999999999128,3694.042756079278
1799,1.798999999999913,3693.9520197155744
1800,1.7999999999999126,3693.861282676406
1801,1.8009999999999124,3693.770544961836
1802,1.8019999999999123,3693.679806571937
1803,1.802999999999912,3693.589067506816
1804,1.803999999999912,3693.498327766517
1805,1.804999999999912,3693.407587351135
1806,1.805999999999912,3693.316846260744
1807,1.806999999999912,3693.226104495429
1808,1.807999999999912,3693.135362055252
1809,1.808999999999912,3693.044618940311
1810,1.8099999999999117,3692.9538751506575
1811,1.8109999999999116,3692.863130686381
1812,1.8119999999999112,3692.7723855475656
1813,1.8129999999999111,3692.6816397342695
1814,1.813999999999911,3692.5908932465873
1815,1.814999999999911,3692.500146084592
1816,1.8159999999999108,3692.409398248342
1817,1.816999999999911,3692.318649737938
1818,1.8179999999999104,3692.227900553448
1819,1.8189999999999105,3692.137150694933
1820,1.8199999999999104,3692.046400162493
1821,1.8209999999999105,3691.955648956191
1822,1.82199999999991,3691.8648970761087
1823,1.82299999999991,3691.7741445223087
1824,1.82399999999991,3691.683391294878
1825,1.8249999999999096,3691.592637393892
1826,1.8259999999999097,3691.501882819417
1827,1.8269999999999096,3691.411127571547
1828,1.8279999999999093,3691.320371650328
1829,1.8289999999999091,3691.229615055861
1830,1.8299999999999093,3691.138857788212
1831,1.8309999999999087,3691.048099847451
1832,1.831999999999909,3690.957341233661
1833,1.832999999999909,3690.866581946907
1834,1.8339999999999088,3690.7758219872712
1835,1.8349999999999087,3690.685061354824
1836,1.8359999999999088,3690.5943000496486
1837,1.8369999999999085,3690.5035380718055
1838,1.8379999999999084,3690.4127754213714
1839,1.8389999999999085,3690.322012098436
1840,1.839999999999908,3690.231248103054
1841,1.840999999999908,3690.140483435316
1842,1.841999999999908,3690.049718095273
1843,1.842999999999908,3689.958952083021
1844,1.843999999999908,3689.868185398617
1845,1.844999999999908,3689.777418042149
1846,1.8459999999999075,3689.6866500136807
1847,1.8469999999999076,3689.5958813132847
1848,1.8479999999999075,3689.505111941031
1849,1.8489999999999072,3689.4143418970098
1850,1.849999999999907,3689.323571181279
1851,1.850999999999907,3689.232799793917
1852,1.8519999999999068,3689.142027735001
1853,1.8529999999999067,3689.0512550045937
1854,1.8539999999999064,3688.9604816027713
1855,1.8549999999999065,3688.869707529605
1856,1.8559999999999064,3688.77893278516
