,time,ain1,ain2,ain4,ain5,ain8,ain9,ain11,ain12,ain13,LCM101_LOADCELL_ain1,PX309_OMEGA_ain2,PX309_OMEGA_ain4,PX309_OMEGA_ain5,thermocouple_AD8495_ain8,thermocouple_AD8495_ain9,LC101_200_ain11,thermocouple_AD8495_ain12,thermocouple_AD8495_ain13
84,0.21000000000003638,5.83609,3.23354,2.26938,0.48508,-1.22848,-2.61108,1.91094,-0.85773,-1.78209,4836.41179,646.70708,453.87607,97.01554,-495.69691,-772.21647,64.35444,-421.54571,-606.41843
85,0.21249999999997726,5.12805,3.2288,2.2918,0.48287,-1.21712,-2.59403,1.92673,-0.84352,-1.76441,4238.70478,645.75966,458.36051,96.57341,-493.42311,-768.80577,65.02695,-418.70346,-602.8814
86,0.21500000000003183,4.47686,3.22848,2.29433,0.4936,-1.22185,-2.6054,1.91062,-0.85741,-1.78209,3688.98495,645.6965,458.8658,98.72089,-494.37053,-771.07957,64.34099,-421.48255,-606.41843
87,0.21749999999997272,4.60255,3.22627,2.28707,0.48413,-1.23291,-2.6234,1.91189,-0.86752,-1.79851,3795.08994,645.25437,457.41309,96.82605,-496.58117,-774.67976,64.39479,-423.50371,-609.70281
88,0.22000000000002728,5.40975,3.23038,2.27791,0.49045,-1.22975,-2.6234,1.90652,-0.86373,-1.78841,4476.50792,646.07546,455.58142,98.08928,-495.94956,-774.67976,64.16613,-422.74577,-607.68165
89,0.22249999999996817,5.14542,3.23132,2.27475,0.48413,-1.21554,-2.59813,1.93242,-0.83531,-1.7502,4253.36753,646.26495,454.94981,96.82605,-493.1073,-769.62686,65.26906,-417.06127,-600.03915
90,0.22500000000002274,4.93194,3.22438,2.27064,0.4895,-1.22185,-2.61582,1.9122,-0.84699,-1.76914,4073.149,644.8754,454.12871,97.89979,-494.37053,-773.16389,64.40824,-419.39823,-603.82882
91,0.22749999999996362,4.96005,3.23575,2.2757,0.48666,-1.22722,-2.61013,1.91978,-0.85236,-1.77672,4096.87599,647.1492,455.13929,97.33134,-495.44427,-772.02699,64.73105,-420.47197,-605.34469
92,0.2300000000000182,5.35859,3.23385,2.28328,0.48697,-1.21743,-2.59845,1.92136,-0.84668,-1.76788,4433.31946,646.77024,456.65516,97.3945,-493.48627,-769.69002,64.7983,-419.33507,-603.57617
93,0.23250000000007276,5.41891,3.2509,2.28801,0.49171,-1.21522,-2.59908,1.93684,-0.83878,-1.75904,4484.23919,650.18094,457.60258,98.34192,-493.04414,-769.81635,65.45737,-417.75604,-601.80766
94,0.23500000000001364,5.54839,3.23638,2.29212,0.48666,-1.20733,-2.59119,1.92452,-0.84068,-1.75588,4593.54333,647.27553,458.42367,97.33134,-491.46511,-768.23732,64.9328,-418.13501,-601.17605
95,0.2375000000000682,6.32812,3.23069,2.28896,0.49108,-1.21427,-2.60034,1.9261,-0.84604,-1.7682,5251.76751,646.13863,457.79206,98.2156,-492.85466,-770.06899,65.00005,-419.20875,-603.63933
96,0.2400000000000091,5.58629,3.22532,2.27443,0.49171,-1.2168,-2.60477,1.9242,-0.84699,-1.76883,4625.53478,645.06489,454.88665,98.34192,-493.35995,-770.95325,64.91935,-419.39823,-603.76566
97,0.24250000000006366,5.22027,3.23069,2.27696,0.49297,-1.22817,-2.60887,1.91663,-0.84668,-1.76346,4316.55065,646.13863,455.39193,98.59456,-495.63375,-771.77434,64.59654,-419.33507,-602.69192
98,0.24500000000000455,4.88267,3.2348,2.28833,0.49613,-1.21427,-2.59434,1.91189,-0.84983,-1.77167,4031.56011,646.95972,457.66574,99.22618,-492.85466,-768.86893,64.39479,-419.96668,-604.33411
