,Time      (s),Ullage       
8069,8.069000000000967,0.8876202184467056
8070,8.070000000000967,0.8876808724937721
8071,8.071000000000966,0.8877415221289207
8072,8.072000000000966,0.8878021673524593
8073,8.073000000000965,0.8878628081646971
8074,8.074000000000964,0.8879234445659422
8075,8.075000000000964,0.8879840765565031
8076,8.076000000000963,0.8880447041366883
8077,8.077000000000963,0.8881053273068059
8078,8.078000000000962,0.8881659460671641
8079,8.079000000000962,0.8882265604180708
8080,8.080000000000961,0.888287170359834
8081,8.08100000000096,0.8883477758927616
8082,8.08200000000096,0.8884083770171612
8083,8.08300000000096,0.8884689737333408
8084,8.084000000000959,0.8885295660416075
8085,8.085000000000958,0.8885901539422694
8086,8.086000000000958,0.8886507374356333
8087,8.087000000000957,0.8887113165220066
8088,8.088000000000957,0.8887718912016966
8089,8.089000000000956,0.8888324614750108
8090,8.090000000000956,0.8888930273422554
8091,8.091000000000955,0.8889535888037379
8092,8.092000000000954,0.8890141458597649
8093,8.093000000000954,0.8890746985106432
8094,8.094000000000953,0.8891352467566797
8095,8.095000000000953,0.8891957905981803
8096,8.096000000000952,0.889256330035452
8097,8.097000000000952,0.8893168650688011
8098,8.098000000000951,0.8893773956985335
8099,8.09900000000095,0.8894379219249559
8100,8.10000000000095,0.889498443748374
8101,8.10100000000095,0.8895589611690938
8102,8.102000000000949,0.8896194741874213
8103,8.103000000000948,0.8896799828036623
8104,8.104000000000948,0.8897404870181226
8105,8.105000000000947,0.8898009868311076
8106,8.106000000000947,0.8898614822429229
8107,8.107000000000946,0.8899219732538739
8108,8.108000000000946,0.8899824598642662
8109,8.109000000000945,0.8900429420744048
8110,8.110000000000944,0.8901034198845947
8111,8.111000000000944,0.8901638932951411
8112,8.112000000000943,0.8902243623063492
8113,8.113000000000943,0.8902848269185235
8114,8.114000000000942,0.890345287131969
8115,8.115000000000942,0.8904057429469905
8116,8.116000000000941,0.8904661943638922
8117,8.11700000000094,0.8905266413829789
8118,8.11800000000094,0.8905870840045548
8119,8.11900000000094,0.8906475222289245
8120,8.120000000000939,0.8907079560563919
8121,8.121000000000938,0.8907683854872614
8122,8.122000000000938,0.8908288105218369
8123,8.123000000000937,0.8908892311604223
8124,8.124000000000937,0.8909496474033216
8125,8.125000000000936,0.8910100592508383
8126,8.126000000000936,0.8910704667032764
8127,8.127000000000935,0.8911308697609392
8128,8.128000000000934,0.8911912684241303
8129,8.129000000000934,0.8912516626931531
8130,8.130000000000933,0.8913120525683108
8131,8.131000000000933,0.8913724380499067
8132,8.132000000000932,0.8914328191382438
8133,8.133000000000932,0.8914931958336252
8134,8.134000000000931,0.8915535681363539
8135,8.13500000000093,0.8916139360467326
8136,8.13600000000093,0.891674299565064
8137,8.13700000000093,0.8917346586916507
8138,8.138000000000929,0.8917950134267956
8139,8.139000000000928,0.8918553637708009
8140,8.140000000000928,0.8919157097239686
8141,8.141000000000927,0.8919760512866018
8142,8.142000000000927,0.8920363884590021
8143,8.143000000000926,0.892096721241472
8144,8.144000000000926,0.8921570496343127
8145,8.145000000000925,0.892217373637827
8146,8.146000000000925,0.8922776932523163
8147,8.147000000000924,0.8923380084780823
8148,8.148000000000923,0.8923983193154268
8149,8.149000000000923,0.8924586257646513
8150,8.150000000000922,0.8925189278260571
8151,8.151000000000922,0.8925792254999456
8152,8.152000000000921,0.8926395187866182
8153,8.15300000000092,0.8926998076863757
8154,8.15400000000092,0.8927600921995197
8155,8.15500000000092,0.8928203723263507
8156,8.156000000000919,0.8928806480671698
8157,8.157000000000918,0.8929409194222779
8158,8.158000000000918,0.8930011863919757
8159,8.159000000000917,0.8930614489765636
8160,8.160000000000917,0.8931217071763422
8161,8.161000000000916,0.8931819609916121
8162,8.162000000000916,0.8932422104226734
8163,8.163000000000915,0.8933024554698263
8164,8.164000000000915,0.8933626961333713
8165,8.165000000000914,0.8934229324136082
